num_lags,n_estimators,max_features,criterion,accuracy
1,20,2,gini,0.7530280649926144
1,20,2,entropy,0.7485967503692762
1,20,2,log_loss,0.7485967503692762
1,20,4,gini,0.7530280649926144
1,20,4,entropy,0.7485967503692762
1,20,4,log_loss,0.7485967503692762
1,20,8,gini,0.7530280649926144
1,20,8,entropy,0.7485967503692762
1,20,8,log_loss,0.7485967503692762
1,50,2,gini,0.7695716395864106
1,50,2,entropy,0.7734121122599704
1,50,2,log_loss,0.7734121122599704
1,50,4,gini,0.7695716395864106
1,50,4,entropy,0.7734121122599704
1,50,4,log_loss,0.7734121122599704
1,50,8,gini,0.7695716395864106
1,50,8,entropy,0.7734121122599704
1,50,8,log_loss,0.7734121122599704
1,100,2,gini,0.7737075332348596
1,100,2,entropy,0.7748892171344165
1,100,2,log_loss,0.7748892171344165
1,100,4,gini,0.7737075332348596
1,100,4,entropy,0.7748892171344165
1,100,4,log_loss,0.7748892171344165
1,100,8,gini,0.7737075332348596
1,100,8,entropy,0.7748892171344165
1,100,8,log_loss,0.7748892171344165
5,20,2,gini,0.8205734555128584
5,20,2,entropy,0.8122967780076855
5,20,2,log_loss,0.8122967780076855
5,20,4,gini,0.7845107892403193
5,20,4,entropy,0.8134791605084245
5,20,4,log_loss,0.8134791605084245
5,20,8,gini,0.8143659473839787
5,20,8,entropy,0.8134791605084245
5,20,8,log_loss,0.8134791605084245
5,50,2,gini,0.8235294117647058
5,50,2,entropy,0.8211646467632279
5,50,2,log_loss,0.8211646467632279
5,50,4,gini,0.8108187998817618
5,50,4,entropy,0.8202778598876737
5,50,4,log_loss,0.8202778598876737
5,50,8,gini,0.8096364173810228
5,50,8,entropy,0.8220514336387822
5,50,8,log_loss,0.8220514336387822
5,100,2,gini,0.8244161986402602
5,100,2,entropy,0.8226426248891516
5,100,2,log_loss,0.8226426248891516
5,100,4,gini,0.8111143955069465
5,100,4,entropy,0.8193910730121194
5,100,4,log_loss,0.8193910730121194
5,100,8,gini,0.8099320130062075
5,100,8,entropy,0.8179130948861957
5,100,8,log_loss,0.8179130948861957
10,20,2,gini,0.8098758131283265
10,20,2,entropy,0.8116499112950917
10,20,2,log_loss,0.8116499112950917
10,20,4,gini,0.8181549379065641
10,20,4,entropy,0.8193376700177409
10,20,4,log_loss,0.8193376700177409
10,20,8,gini,0.8045535186280307
10,20,8,entropy,0.8128326434062685
10,20,8,log_loss,0.8128326434062685
10,50,2,gini,0.8196333530455352
10,50,2,entropy,0.8151981076286221
10,50,2,log_loss,0.8151981076286221
10,50,4,gini,0.8258426966292135
10,50,4,entropy,0.8255470136014192
10,50,4,log_loss,0.8255470136014192
10,50,8,gini,0.814902424600828
10,50,8,entropy,0.8199290360733293
10,50,8,log_loss,0.8199290360733293
10,100,2,gini,0.820816085156712
10,100,2,entropy,0.8157894736842105
10,100,2,log_loss,0.8157894736842105
10,100,4,gini,0.8270254287403903
10,100,4,entropy,0.8243642814902424
10,100,4,log_loss,0.8243642814902424
10,100,8,gini,0.8222945002956831
10,100,8,entropy,0.8211117681845063
10,100,8,log_loss,0.8211117681845063
13,20,2,gini,0.8053830227743272
13,20,2,entropy,0.8121857438627625
13,20,2,log_loss,0.8121857438627625
13,20,4,gini,0.8050872522922212
13,20,4,entropy,0.8192842354333038
13,20,4,log_loss,0.8192842354333038
13,20,8,gini,0.8166223010943507
13,20,8,entropy,0.821354628808045
13,20,8,log_loss,0.821354628808045
13,50,2,gini,0.8127772848269743
13,50,2,entropy,0.8139603667553978
13,50,2,log_loss,0.8139603667553978
13,50,4,gini,0.8189884649511979
13,50,4,entropy,0.8225377107364685
13,50,4,log_loss,0.8225377107364685
13,50,8,gini,0.826382727003845
13,50,8,entropy,0.8219461697722568
13,50,8,log_loss,0.8219461697722568
13,100,2,gini,0.8172138420585625
13,100,2,entropy,0.8151434486838214
13,100,2,log_loss,0.8151434486838214
13,100,4,gini,0.8254954155575274
13,100,4,entropy,0.821354628808045
13,100,4,log_loss,0.821354628808045
13,100,8,gini,0.8269742679680568
13,100,8,entropy,0.8257911860396332
13,100,8,log_loss,0.8257911860396332
25,20,2,gini,0.8027835356825584
25,20,2,entropy,0.7936037903464613
25,20,2,log_loss,0.7936037903464613
25,20,4,gini,0.8125555226532425
25,20,4,entropy,0.8196624222682855
25,20,4,log_loss,0.8196624222682855
25,20,8,gini,0.8149244891915902
25,20,8,entropy,0.8175895765472313
25,20,8,log_loss,0.8175895765472313
25,50,2,gini,0.8015990524133847
25,50,2,entropy,0.7885697364524726
25,50,2,log_loss,0.7885697364524726
25,50,4,gini,0.8199585430855789
25,50,4,entropy,0.8190701806336985
25,50,4,log_loss,0.8190701806336985
25,50,8,gini,0.8208469055374593
25,50,8,entropy,0.8229197512585135
25,50,8,log_loss,0.8229197512585135
25,100,2,gini,0.8004145691442108
25,100,2,entropy,0.7882736156351792
25,100,2,log_loss,0.7882736156351792
25,100,4,gini,0.8208469055374593
25,100,4,entropy,0.8190701806336985
25,100,4,log_loss,0.8190701806336985
25,100,8,gini,0.8252887177968611
25,100,8,entropy,0.8249925969795676
25,100,8,log_loss,0.8249925969795676
40,20,2,gini,0.7880225318707382
40,20,2,entropy,0.7817966202193892
40,20,2,log_loss,0.7817966202193892
40,20,4,gini,0.8102579306255558
40,20,4,entropy,0.7862436999703528
40,20,4,log_loss,0.7862436999703528
40,20,8,gini,0.8108508745923511
40,20,8,entropy,0.8141120664097243
40,20,8,log_loss,0.8141120664097243
40,50,2,gini,0.78535428402016
40,50,2,entropy,0.7838719241031723
40,50,2,log_loss,0.7838719241031723
40,50,4,gini,0.8061073228579899
40,50,4,entropy,0.7859472279869553
40,50,4,log_loss,0.7859472279869553
40,50,8,gini,0.815001482359917
40,50,8,entropy,0.8176697302104952
40,50,8,log_loss,0.8176697302104952
40,100,2,gini,0.7832789801363771
40,100,2,entropy,0.7812036762525941
40,100,2,log_loss,0.7812036762525941
40,100,4,gini,0.8075896827749778
40,100,4,entropy,0.7886154758375333
40,100,4,log_loss,0.7886154758375333
40,100,8,gini,0.8182626741772903
40,100,8,entropy,0.8144085383931219
40,100,8,log_loss,0.8144085383931219
50,20,2,gini,0.7884272997032641
50,20,2,entropy,0.7827893175074184
50,20,2,log_loss,0.7827893175074184
50,20,4,gini,0.8
50,20,4,entropy,0.7908011869436202
50,20,4,log_loss,0.7908011869436202
50,20,8,gini,0.8154302670623146
50,20,8,entropy,0.8103857566765579
50,20,8,log_loss,0.8103857566765579
50,50,2,gini,0.7818991097922848
50,50,2,entropy,0.7804154302670623
50,50,2,log_loss,0.7804154302670623
50,50,4,gini,0.7922848664688428
50,50,4,entropy,0.787833827893175
50,50,4,log_loss,0.787833827893175
50,50,8,gini,0.814540059347181
50,50,8,entropy,0.8091988130563799
50,50,8,log_loss,0.8091988130563799
50,100,2,gini,0.7807121661721068
50,100,2,entropy,0.7807121661721068
50,100,2,log_loss,0.7807121661721068
50,100,4,gini,0.7884272997032641
50,100,4,entropy,0.7857566765578635
50,100,4,log_loss,0.7857566765578635
50,100,8,gini,0.8130563798219584
50,100,8,entropy,0.8071216617210683
50,100,8,log_loss,0.8071216617210683
